SKU,Description,Cost
0000000NV314,LOGIC_IC xCBDWE52697AV4                 ,
0000000NU710,LOGIC_IC xCPBDWE52603V4                 ,
0000000NU704,LOGIC_IC xCPBDWE52609V4                 ,
0000000NU599,LOGIC_IC xCPBDWE52620V4                 ,
0000000NU692,LOGIC_IC xCPBDWE52630V4                 ,
0000000NU686,LOGIC_IC xCPBDWE52640V4                 ,
0000000NU685,LOGIC_IC xCPBDWE52650V4                 ,
0000000NU717,LOGIC_IC xCPBDWE52667V4                 ,
0000000NV344,LOGIC_IC xCPBDWE52673V4                 ,
0000000NU693,LOGIC_IC xCPBDWE52680V4                 ,
0000000NU635,LOGIC_IC xCPBDWE526xxV4                 ,
0000000NV321, LOGIC_IC xCPBDWE74850V4                ,
0000000NV317, LOGIC_IC xCPBDWE78890V4                ,
0000040X7472,LOGIC_IC xCPHWE52698C1                  ,
0000040X7387,  LOGIC_IC xCPIVBE52620S1               ,
SM30E51142,MEMORY 16G D4-21E HMA82GU7MFR8N-TF,
SM30J46602,MEMORY 16G D4-21R HMA42GR7AFR4N-TF,
SM30G54884,MEMORY S M393A2G40DB0CPB 16GB D421R   ,
SM30K12156,MEMORY 16G D424R HMA42GR7AFR4NUH      ,
SM30G16438,MEMORY 16GB D4 21S M471A2K43BB1-CPB,
SM30G16450,MEMORY M378A2K43BB1CPB 16GB D4U        ,
SM30G16512,MEMORY 16GB D4 24S M471A2K43BB1CRC     ,
SM30M49903,MEMORY 16GB D4 S M471A2K43CB1CRC       ,
SM30E51097,MEMORY 16GB RDIMM DDR31866 1R*8 1.5V   ,
0000000NU565,MEMORY 16GB2133UDIMMECC2Rx8,
0000000NV204,MEMORY 16GB2400Mhz Ri                   ,
0000000NU400,MEMORY 16GBSTRCGOAL                     ,
0000000NV283,MEMORY 1Rx8 8GB 8Gbit 2400 UDIMM ECC,
000000B00602,MEMORY 2GB 1RX8 PC310600U 2Gb SV UDIMM ,
SM30G16485,MEMORY 2GB D3L 16S M471B5674EB0YK0     ,
SM30G16477,MEMORY 2GB D3L 16S RMT3190MN76F8F-1600,
SM30K25230,MEMORY 2G D4 2400U HMA425U6AFR6NUHN0   ,
SM30K25228,MEMORY 2GB D4 24U M378A5644EB0-CRC,
0000000NV279,MEMORY 2Rx4 32GB 8Gbit 2400MHz RDiMM    ,
0000000NV284,MEMORY 2Rx8 16GB 8Gbit 2400 UDIMM ECC   ,
SM30K12159,MEMORY HMA84GR7MFR4NUH 32GB D424R     ,
0000000NV194,MEMORY 32Gb2133lrdimm                   ,
0000000NV205,MEMORY 32GB2400MHZRid                   ,
0000047J0256,MEMORY 32GB8gb12                        ,
0000000NV253,MEMORY 32GB8gb2R4LP24,
0000047J0244,MEMORY 32GBLR186615v                    ,
SM30H35444,MEMORY 4G D4-21E HMA451U7AFR8N-TF,
