PN,DESCRIPCION,VENDOR,PIECES PER BOX,OTROS,OTROS
SSA7A75401,SP CLX 8272CL 26C/2.6G/195W/35.75M M1,3Tech Corporate Limited,,M1102906-001,
SSS7A75155,SSD HFS3T8GD0FEI-A430A 3.84T M.2 M1a,Amphenol Assembletech,,M1156144-001,
SSA7A95334,SP ICX 8370C 32C/2.8G/270W RKHC M1,Amphenol Assembletech,,M1172617-001,M1200539-001
SM37A68881,MEMORY HMA84GR7DJR4N-XN 32G M1a,Amphenol Assembletech,,M1171184-001,
SHD7A74374,HDD ST14000NM0001 14T 3.5 M1a,Amphenol Assembletech,,M1136743-001,
SM37A68704,MEMORY MTA18ASF4G72PZ-2G9E1 32G M1-A,Amphenol Assembletech,,M1149672-001,
SSA7A75402,SP CLX 8280M 28C/2.7G/205W/38.5M M1,Amphenol Assembletech,,M1121192-001,
SSS7B01847,SSD H HFS960GDE0X098N 960G M.2 M1a,Amphenol Assembletech,,M1204900-001,M1200546-001
SM37A68727,MEMORY HMABAGL7ABR4N-WM 128G M1a,Amphenol Assembletech,,M1157636-001,
SSG7A87987,SWITCH Citrix MPX-8600T Load Balancer,Amphenol Assembletech,,M1161184-001,
SM37A68729,MEMORY HMAA8GR7AJR4N-WM 64G M1a,Amphenol Assembletech,,M1137377-001,
SSA7A75399,SP SKL 8180M 28C/2.5G/205W/38.5M M1,Amphenol Assembletech,,M1093382-001,M1249786-001
SM37A21417,MEMORY S M386AAG40MMB-CVF 128G M1a,Amphenol High Speed Technology (Nan,,M1125238-001,
SM37A68879,MEMORY HMA82GR7DJR4N-XN 16G M1a,Amphenol High Speed Technology (Nan,,M1171185-001,
SSS7A75133,SSD Sam PM1735 6.4T AIC -IPDC M1-A,Amphenol High Speed Technology (Nan,,M1151723-001,
SM37A47849,MEMORY S M393AAK40B42-CWD 128G D4-26R,Amphenol High Speed Technology (Nan,,M1093390-001,M1069296-001 NDAAFF-M206
SHD7B05974,HDD ST20000NM012D 20T SAS HDD M1,Amphenol High Speed Technology (Nan,,M1208848-001,
SC57A48246,CARDPOP Longs Peak FPGA Card,Amphenol Xiamen High Speed Cable Co,,M1037380-006,
STA7A97074,ECAT_TLA Celestial FPGA Card,Amphenol Xiamen High Speed Cable Co,,M1096519-005,
SB27A95366,BDPLANAR C2080 Motherboard Asm-W,Amphenol Xiamen High Speed Cable Co,,M1119344-003,
SSA7B04506,SP Intel SPR ES2 QYG3,Amphenol Xiamen High Speed Cable Co,,M1209290-001,
SC57A68194,CARDPOP Longs Peak FPGA Card - Q,Amphenol Xiamen High Speed Cable Co,,M1037380-006,
SSS7A75097,SSD I D5-P4326 E1.L 15T SSD -M1-a,Amphenol Xiamen High Speed Cable Co,,M1092624-001,
SM37A68640,MEMORY HMAA8GL7CPR4N-WM 64G M1a,Amphenol Xiamen High Speed Cable Co,,M1103682-001,
SM37A68639,MEMORY HMAA8GL7CPR4N-WM 64G M1,Amphenol Xiamen High Speed Cable Co,,M1103682-001,
SB27B04355,BDPLANAR C2080 Motherboard Asm W-TW,Amphenol Xiamen High Speed Cable Co,,M1119344-003,M1176179-001
SSG7A48102,SWITCH DCS-7060CX 100G PSI,Amphenol Xiamen High Speed Cable Co,,M1073638-001,
SM37A68712,MEMORY MTA144ASQ16G72PSZ-2S6E1 128G M1a,Amphenol Xiamen High Speed Cable Co,,M1153671-001,
SSG7A94154,SWITCH DCS-7260CX3-64-F,Amphenol Xiamen High Speed Cable Co,,M1074751-001,
SSA7A44100,SP CLX 8280L 28C/2.7G/205W/38.5M,Amphenol Xiamen High Speed Cable Co,,M1152262-001,
SM37A68768,MEMORY MTA18ASF4G72PZ-3G2E1 32G M1a,Amphenol Xiamen High Speed Cable Co,,M1152909-001,
SB27B02824,BDPLANAR CHAS EM-L6 F2010 CERTIFIED CERB,Amphenol Xiamen High Speed Cable Co,,M1079117-004,
SM37B01858,MEMORY M MTC40F2046S1RC48BA1 64G M1a,Amphenol Xiamen High Speed Cable Co,,M1185012-001,
SM37B01856,MEMORY HMCG94MEBRA ES 64G 2RX4 M1a,Amphenol Xiamen High Speed Cable Co,,M1190042-001,
SSG7A57438,SWITCH Cisco N9K-C9232C 100G PSI,Amphenol Xiamen High Speed Cable Co,,M1053402-001,
